Project 1 - FYS3150
Solving the one-dimensional Poissons equation
n = 10
Sun Sep  4 14:01:26 2016

                     x(i)                     u(i)
                        0   0.0000000000000000e+00
   9.0909090909090912e-02   4.7273681937172740e-01
   1.8181818181818182e-01   6.1250643086813827e-01
   2.7272727272727271e-01   6.1812677692500517e-01
   3.6363636363636365e-01   5.6969968229603740e-01
   4.5454545454545459e-01   4.9949739691132683e-01
   5.4545454545454541e-01   4.2052209792167683e-01
   6.3636363636363635e-01   3.3801223665995328e-01
   7.2727272727272729e-01   2.5407833446796935e-01
   8.1818181818181823e-01   1.6957069996772217e-01
   9.0909090909090917e-01   8.4831914273327119e-02
   1.0000000000000000e+00   0.0000000000000000e+00
